generation,training_best,training_mean,training_worst,training_std,selected_candidate_fitness,benchmark_score,normal_score,mid_score,late_score,full_tournament_score,minimum_control_score,robust_score,verified_score,checkpoint_saved,league_promoted,league_size,total_probe_decisions,action_entropy,unique_policy_count,unique_policy_rate,action_legacy_fraction,action_minimum,action_five_percent,action_controlled_recovery,action_take_second,action_take_first,action_cover_visible_bets,action_half_bankroll,action_all_in,action_protect_lead
0,33.48314424548249,15.07710470703116,0.1,9.174575012070495,25.237678486680416,0.49900000000000005,0.36499999999999994,0.638888888888889,0.5125000000000001,0.42000000000000004,0.6249999999999999,0.4760500000000001,0.4018087499999996,True,False,5,1680,0.9999999999999998,10,0.14285714285714285,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,29.853274017576062,15.408813853901341,0.0,5.145869184203216,29.853274017576062,0.40700000000000003,0.5075000000000001,0.5111111111111111,0.08333333333333333,0.42000000000000004,0.82,0.45415000000000005,0.45934124999999987,True,False,5,1680,0.6182148135922677,10,0.14285714285714285,0.014285714285714285,0.38571428571428573,0.014285714285714285,0.014285714285714285,0.12857142857142856,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.38571428571428573
2,25.987080146663118,16.231585034443622,0.095,5.3635086914154515,25.987080146663118,0.4870000000000001,0.6100000000000001,0.33888888888888885,0.5041666666666667,0.355,0.3125,0.41015,,False,False,5,1680,0.5077309167112992,10,0.14285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.5714285714285714,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.3142857142857143
3,26.348875000000003,16.290051288908153,0.18500000000000003,5.761293804320551,26.348875000000003,0.44,0.4875,0.39999999999999997,0.42083333333333334,0.6125,0.36500000000000005,0.510125,0.4261066666666665,False,False,5,1680,0.48349525739538357,10,0.14285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.6428571428571429,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.24285714285714285
4,25.19722865430581,16.0046045345565,0.135,5.227063552667729,24.318446936475496,0.3559999999999999,0.33499999999999996,0.2833333333333333,0.5,0.61,0.31,0.4657,0.4495054166666666,False,False,5,1680,0.4168865589600319,10,0.14285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.7571428571428571,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.12857142857142856
5,29.817936944008416,16.36835896665774,0.43750000000000006,5.016383223618474,29.817936944008416,0.45799999999999996,0.5875,0.5083333333333333,0.16666666666666666,0.8400000000000001,0.5599999999999999,0.6401000000000001,0.4438337499999999,False,True,6,1680,0.40546971249460184,10,0.14285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.7714285714285715,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.11428571428571428
6,24.804872886124627,16.267790312993846,0.17,5.078116367153027,24.804872886124627,0.33399999999999996,0.3775,0.33888888888888885,0.25416666666666665,0.72,0.42000000000000004,0.5163,0.45754791666666667,False,False,6,1680,0.289310612362017,10,0.14285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.8714285714285714,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285
7,26.30608804558897,16.191030359871107,0.12375,5.476767549219006,26.30608804558897,0.4416666666666667,0.43916666666666665,0.5166666666666667,0.3333333333333333,0.51,0.625,0.49075,0.44855666666666644,False,False,6,1680,0.289310612362017,10,0.14285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.8714285714285714,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285
8,24.300119238021857,15.950323180145565,0.6400000000000001,4.617401190862481,24.300119238021857,0.28600000000000003,0.4625,0.22499999999999998,0.08333333333333333,0.305,0.5199999999999999,0.31795,,False,False,6,1680,0.289310612362017,10,0.14285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.8714285714285714,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285
9,24.791556628928262,15.928747974865766,0.07750000000000001,4.714663295770041,24.791556628928262,0.3975,0.5387500000000001,0.44999999999999996,0.08333333333333333,0.61,0.625,0.5158750000000001,0.4447545833333332,False,False,6,1680,0.289310612362017,10,0.14285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.8714285714285714,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285
